IMG_REGISTER,58158.439300,58158.439868
IMG_REGISTER,58158.469986,58158.470740
IMG_BLUR,58158.483104,58158.494393
IMG_ROT90CLKW,58158.497536,58158.498986
IMG_SHARPEN,58158.554442,58158.572900
IMG_HORIZEDGES,58158.573053,58158.591253
IMG_SHARPEN,58158.660373,58158.679190
IMG_SHARPEN,58158.679325,58158.698271
IMG_VERTEDGES,58158.698334,58158.717700
IMG_ROT90CLKW,58158.749131,58158.750285
IMG_HORIZEDGES,58158.771679,58158.791650
IMG_HORIZEDGES,58158.825462,58158.846878
IMG_REGISTER,58158.870273,58158.870481
IMG_VERTEDGES,58158.867778,58158.886094
IMG_BLUR,58158.886177,58158.897610
IMG_VERTEDGES,58158.897696,58158.917964
IMG_ROT90CLKW,58158.918054,58158.919342
IMG_HORIZEDGES,58158.919392,58158.938817
IMG_VERTEDGES,58158.938905,58158.957776
IMG_SHARPEN,58158.957854,58158.977044
IMG_BLUR,58159.004860,58159.015506
IMG_HORIZEDGES,58159.092716,58159.110514
IMG_ROT90CLKW,58159.141711,58159.142893
IMG_REGISTER,58159.336503,58159.337347
IMG_HORIZEDGES,58159.335979,58159.355040
IMG_ROT90CLKW,58159.383026,58159.384265
IMG_REGISTER,58159.402076,58159.402931
IMG_BLUR,58159.399403,58159.411596
IMG_ROT90CLKW,58159.411627,58159.412715
IMG_BLUR,58159.433000,58159.444320
IMG_BLUR,58159.460830,58159.472278
IMG_SHARPEN,58159.505945,58159.525910
IMG_REGISTER,58159.532269,58159.532866
IMG_HORIZEDGES,58159.526068,58159.545815
IMG_REGISTER,58159.639757,58159.639996
IMG_HORIZEDGES,58159.697610,58159.716776
IMG_SHARPEN,58159.752197,58159.771372
IMG_REGISTER,58159.869648,58159.870097
IMG_ROT90CLKW,58159.894869,58159.895958
IMG_BLUR,58159.902982,58159.913546
IMG_HORIZEDGES,58159.934777,58159.954444
IMG_SHARPEN,58159.961543,58159.979831
IMG_BLUR,58159.979979,58159.991245
IMG_ROT90CLKW,58160.008408,58160.009706
IMG_SHARPEN,58160.030065,58160.049656
IMG_BLUR,58160.049873,58160.060775
IMG_SHARPEN,58160.061502,58160.079634
IMG_ROT90CLKW,58160.079682,58160.080880
IMG_HORIZEDGES,58160.100021,58160.119498
IMG_VERTEDGES,58160.122257,58160.140899
IMG_ROT90CLKW,58160.140978,58160.142203
IMG_SHARPEN,58160.153672,58160.172733
IMG_REGISTER,58160.393369,58160.393549
IMG_ROT90CLKW,58160.566318,58160.567956
IMG_REGISTER,58160.589162,58160.589348
IMG_REGISTER,58160.626864,58160.627476
IMG_REGISTER,58160.665958,58160.666571
IMG_BLUR,58160.681906,58160.693544
IMG_ROT90CLKW,58160.703179,58160.704354
IMG_HORIZEDGES,58160.713565,58160.732031
IMG_HORIZEDGES,58160.743615,58160.762497
IMG_ROT90CLKW,58160.853560,58160.854728
IMG_REGISTER,58160.866923,58160.867819
IMG_SHARPEN,58160.957782,58160.977917
IMG_ROT90CLKW,58160.989406,58160.990575
